ccode1,ccode2,year,cap_1,cap_2,alliance,contig,dyaddur,polity21,polity22,demdA,demdB,allied,jointdem,anyweak,hegemon,terrmid,lncapratdir,NEGOC,terrcontig
365,372,2001,.05455,.000578,-9,1,10,7,5,1,0,,0,1,0,0,4.547299,0,0
365,375,1939,.138136,.001794,2,1,22,-9,4,0,0,1,0,1,0,1,4.343791,0,1
365,375,1941,.124339,.001321,2,1,24,-9,4,0,0,1,0,1,0,0,4.544622,0,0
365,375,1954,.184529,.00128,1,1,37,-7,10,0,1,1,0,1,0,0,4.970947,0,0
365,375,1963,.171477,.001232,1,1,46,-7,10,0,1,1,0,1,0,0,4.93581,0,0
365,380,1943,.102841,.005519,4,0,127,-9,10,0,1,0,0,1,0,1,2.924987,0,0
365,380,1952,.170199,.004651,4,0,136,-9,10,0,1,0,0,1,0,0,3.599886,0,0
365,380,1955,.179166,.004399,4,0,139,-7,10,0,1,0,0,1,0,0,3.706935,0,0
365,380,1964,.167705,.004252,4,0,148,-7,10,0,1,0,0,1,0,0,3.674817,0,0
365,380,1981,.168779,.003145,4,0,165,-7,10,0,1,0,0,1,0,0,3.982776,0,0
365,380,1982,.170673,.003214,4,0,166,-7,10,0,1,0,0,1,0,0,3.972233,0,0
365,380,1983,.171442,.003256,4,0,167,-7,10,0,1,0,0,1,0,0,3.963746,0,0
365,380,1987,.172525,.003406,4,0,171,-7,10,0,1,0,0,1,0,0,3.925004,0,0
365,380,1992,.06595,.003966,4,0,176,6,10,1,1,0,1,1,0,0,2.811139,0,0
365,385,1978,.170097,.001792,4,1,33,-7,10,0,1,0,0,1,0,0,4.553037,0,0
365,385,1983,.171442,.001924,4,1,38,-7,10,0,1,0,0,1,0,0,4.489839,0,0
365,385,1987,.172525,.001993,4,1,42,-7,10,0,1,0,0,1,0,0,4.460901,0,0
365,385,1999,.052523,.001817,4,1,54,4,10,0,1,0,0,1,0,0,3.364064,0,0
365,390,1959,.171353,.00148,4,0,14,-7,10,0,1,0,0,1,0,0,4.751684,0,0
365,390,1999,.052523,.001516,4,0,54,4,10,0,1,0,0,1,0,0,3.545176,0,0
365,630,1908,.120854,.005368,4,1,53,-6,0,0,0,0,0,1,0,0,3.114128,0,0
365,630,1909,.119027,.003806,4,1,54,-6,0,0,0,0,0,1,0,0,3.442772,0,0
365,630,1911,.120098,.003727,4,1,56,-6,0,0,0,0,0,1,0,0,3.472704,0,0
365,630,1920,.103201,.003523,4,1,65,-1,0,0,0,0,0,1,0,0,3.377366,0,0
365,630,1933,.157575,.005006,1,1,78,-9,-7,0,0,1,0,1,0,0,3.449264,0,0
365,630,1941,.124339,.004475,1,1,86,-9,-1,0,0,1,0,1,0,0,3.324505,0,0
365,630,1945,.118207,.00332,1,1,90,-9,-1,0,0,1,0,1,0,0,3.572473,0,0
365,630,1959,.171353,.005673,4,1,104,-7,-10,0,0,0,0,1,0,0,3.408008,0,0
365,630,1963,.171477,.006012,4,1,108,-7,-10,0,0,0,0,1,0,0,3.350692,0,0
365,630,1980,.167749,.008175,4,1,125,-7,-2,0,0,0,0,1,0,0,3.021388,0,0
365,630,1982,.170673,.010511,4,1,127,-7,-6,0,0,0,0,1,0,0,2.787327,0,0
365,630,1983,.171442,.010387,4,1,128,-7,-6,0,0,0,0,1,0,0,2.80369,0,0
365,630,1987,.172525,.009658,4,1,132,-7,-6,0,0,0,0,1,0,0,2.882756,0,0
365,640,1817,.157399,.062218,4,1,1,-10,-10,0,0,0,0,0,0,1,.9281397,0,1
365,640,1821,.173888,.063789,4,1,5,-10,-10,0,0,0,0,0,0,0,1.002831,0,0
365,640,1826,.150055,.065178,4,1,10,-10,-10,0,0,0,0,0,0,0,.8338799,0,0
365,640,1827,.159398,.063349,4,1,11,-10,-10,0,0,0,0,0,0,0,.9227451,0,0
365,640,1853,.135415,.047125,4,1,37,-10,-10,0,0,0,0,0,0,0,1.05554,0,0
365,640,1876,.101546,.044463,4,1,60,-10,-4,0,0,0,0,0,0,0,.8258545,0,0
365,640,1887,.09242,.018161,4,1,71,-10,-10,0,0,0,0,1,0,0,1.627067,0,0
365,640,1897,.107471,.024258,4,1,81,-10,-10,0,0,0,0,1,0,0,1.488475,0,0
365,640,1902,.109967,.016583,4,1,86,-10,-10,0,0,0,0,1,0,0,1.891802,0,0
365,640,1905,.163143,.015776,4,1,89,-8,-10,0,0,0,0,1,0,0,2.336137,0,0
365,640,1921,.148514,.006232,4,1,105,-1,,0,0,0,0,1,0,1,3.170982,1,1
365,640,1945,.118207,.00534,4,1,129,-9,-7,0,0,0,0,1,0,1,3.097212,0,1
